video_id,frame_idx,right_elbow_angle,left_elbow_angle,right_wrist_y,left_wrist_y,right_shoulder_y,left_shoulder_y,r_vis,l_vis
barbell biceps curl_62.mp4,0,101.40296013504536,141.80557575787532,0.40714263916015625,0.48186224699020386,0.2905673682689667,0.29953262209892273,0.6099791526794434,0.537321150302887
barbell biceps curl_62.mp4,1,126.88200676404294,173.07774250391333,0.21262222528457642,0.5371591448783875,0.26740631461143494,0.2929524779319763,0.5667996406555176,0.5795887112617493
barbell biceps curl_62.mp4,2,160.53496514574178,157.3685759443935,0.5625044703483582,0.7011000514030457,0.2867611348628998,0.29012617468833923,0.5125211477279663,0.6200929880142212
barbell biceps curl_62.mp4,3,164.81284984309605,153.46163552039505,0.6413441300392151,0.7113287448883057,0.2849475145339966,0.28727373480796814,0.4673161208629608,0.6569105982780457
barbell biceps curl_62.mp4,4,163.40869869930532,156.34348001041204,0.6193228363990784,0.7206856608390808,0.2904733419418335,0.29439184069633484,0.4251798689365387,0.690619707107544
barbell biceps curl_62.mp4,5,160.29844367528878,156.24675001276458,0.6183092594146729,0.7133913636207581,0.28724542260169983,0.28951478004455566,0.38709333539009094,0.7206791639328003
barbell biceps curl_62.mp4,6,162.33766707278673,157.09843813730987,0.5994713306427002,0.7040757536888123,0.2902320325374603,0.29054027795791626,0.35253533720970154,0.7478326559066772
barbell biceps curl_62.mp4,7,157.68932706365015,156.060565853951,0.6126384735107422,0.7003653049468994,0.29086124897003174,0.29581424593925476,0.32143616676330566,0.7719412446022034
barbell biceps curl_62.mp4,8,158.6826523045411,155.4809034957607,0.5953341126441956,0.6993100047111511,0.2901608943939209,0.29475751519203186,0.2916065454483032,0.7930523753166199
barbell biceps curl_62.mp4,9,147.99001647467043,153.31115570312573,0.5778425335884094,0.7009157538414001,0.2859126329421997,0.29496949911117554,0.2650808095932007,0.8126813173294067
barbell biceps curl_62.mp4,10,129.18700452744594,151.1407424006819,0.5340232849121094,0.6864861249923706,0.28428125381469727,0.2996405363082886,0.241974875330925,0.8299672603607178
barbell biceps curl_62.mp4,11,138.48496260667093,148.22247060909675,0.5642998814582825,0.669086217880249,0.2836616337299347,0.30282238125801086,0.2213488072156906,0.8457236289978027
barbell biceps curl_62.mp4,12,148.11389983054931,147.43023714893235,0.5801479816436768,0.6677151322364807,0.28462934494018555,0.3045995235443115,0.20193928480148315,0.8590362668037415
