Side,Shoulder_Angle,Elbow_Angle,Hip_Angle,Knee_Angle,Ankle_Angle,Shoulder_Ground_Angle,Elbow_Ground_Angle,Hip_Ground_Angle,Knee_Ground_Angle,Ankle_Ground_Angle,Label
left,4.4926310244137815,168.72995643207793,169.67966266927493,177.665528559011,166.9693091486932,0.7618995315339675,12.00309130078947,6.560376809122276,8.894448176845575,21.925535198308804,Bicep Curl
left,4.450026821138271,169.61355110501802,169.98021310326993,177.36676657489275,167.0086781328043,0.7864183644693433,11.145193494646584,6.32796208988391,8.960727857443123,21.952471291678044,Bicep Curl
left,4.435190483387703,169.86042141838183,170.2031888522301,177.1791594342695,166.94103006421327,0.8287103189292676,10.942241805804676,6.163739898877046,8.98406137217894,22.04345910935598,Bicep Curl
left,4.4167216284696575,170.2151851795407,170.40133151090168,177.06101510066512,166.89453691591393,0.8821323332005472,10.64274725399918,6.039292851655009,8.977721014793802,22.083614616010458,Bicep Curl
left,4.4286840367257545,170.33588651705438,170.5137301027588,176.99229975683252,166.9463193567868,0.9319144810912932,10.573300244961375,5.966174592873291,8.973293938099276,22.027415545472614,Bicep Curl
left,4.471148360261224,170.45385091090546,170.53578330748704,176.99128178620364,166.93895799295188,0.9849429151688378,10.509746361139376,5.956059646865616,8.964194534358214,22.025678471838045,Bicep Curl
left,4.517580395210964,170.29009560715414,170.56816884581096,176.98282340926687,166.97616678304712,1.048479430598632,10.738434245545825,5.942231865228199,8.958820282065036,21.983102873515517,Bicep Curl
left,4.5143970552597015,169.67677346029967,170.6094554501597,176.9819697166168,166.9533805435682,1.0785125909494309,11.382252297944097,5.934697404586703,8.952140151576572,21.999205968680315,Bicep Curl
left,4.004643476585782,167.38181337693746,170.57897248299648,177.05459708970506,166.927000486893,0.6180929918449733,13.19866239388086,5.996603572375973,8.94144920033525,22.014890134490987,Bicep Curl
left,3.469833978399421,164.71485382442214,170.43032633904346,177.18250868858854,166.8931570222992,0.2212430760949037,15.305708265900055,6.1203288715219974,8.937313423575885,22.044592699716695,Bicep Curl
left,3.1483181726265115,162.21405076507085,170.36547626323886,177.28259346526335,166.83898479323713,0.3521443339010172,17.514176863378648,6.214479224900825,8.931418338635627,22.092863151595573,Bicep Curl
left,2.3787186623515675,158.96370581382277,170.42317077650586,177.32249481246006,166.83907889486048,0.9694555335747821,20.094675734102662,6.2566162269996015,8.93367201197189,22.095020617091173,Bicep Curl
left,1.7818459591918554,152.91648389986665,170.36679294347013,177.38461794087542,166.9487719978266,1.534996598324515,25.566401662846662,6.334632916849754,8.949593925583986,22.001261869283013,Bicep Curl
left,1.2170352184017377,149.10700193299252,170.38585874967896,177.31099454908735,167.0676509092774,2.1119420826266486,28.79437330613323,6.2990076714097905,8.98757649674846,21.92037953607943,Bicep Curl
